month,day,b0,p
1,1,-3,2
1,2,-3,2
1,3,-3,1
1,4,-3,1
1,5,-4,0
1,6,-4,0
1,7,-4,0
1,8,-4,-1
1,9,-4,-2
1,10,-4,-2
1,11,-4,-3
1,12,-4,-3
1,13,-4,-4
1,14,-4,-4
1,15,-5,-4
1,16,-5,-5
1,17,-5,-5
1,18,-5,-6
1,19,-5,-6
1,20,-5,-7
1,21,-5,-7
1,22,-5,-8
1,23,-5,-8
1,24,-5,-9
1,25,-6,-9
1,26,-6,-9
1,27,-6,-10
1,28,-6,-10
1,29,-6,-11
1,30,-6,-11
1,31,-6,-12
2,1,-6,-12
2,2,-6,-12
2,3,-6,-13
2,4,-6,-13
2,5,-6,-14
2,6,-6,-14
2,7,-6,-14
2,8,-6,-15
2,9,-7,-15
2,10,-7,-16
2,11,-7,-16
2,12,-7,-16
2,13,-7,-17
2,14,-7,-17
2,15,-7,-17
2,16,-7,-18
2,17,-7,-18
2,18,-7,-18
2,19,-7,-19
2,20,-7,-19
2,21,-7,-19
2,22,-7,-20
2,23,-7,-20
2,24,-7,-20
2,25,-7,-20
2,26,-7,-21
2,27,-7,-21
2,28,-7,-21
2,29,-7,-21
3,1,-7,-21
3,2,-7,-22
3,3,-7,-22
3,4,-7,-22
3,5,-7,-22
3,6,-7,-23
3,7,-7,-23
3,8,-7,-23
3,9,-7,-23
3,10,-7,-24
3,11,-7,-24
3,12,-7,-24
3,13,-7,-24
3,14,-7,-24
3,15,-7,-24
3,16,-7,-25
3,17,-7,-25
3,18,-7,-25
3,19,-7,-25
3,20,-7,-25
3,21,-7,-25
3,22,-7,-25
3,23,-7,-26
3,24,-7,-26
3,25,-7,-26
3,26,-7,-26
3,27,-7,-26
3,28,-7,-26
3,29,-7,-26
3,30,-7,-26
3,31,-7,-26
4,1,-7,-26
4,2,-6,-26
4,3,-6,-26
4,4,-6,-26
4,5,-6,-26
4,6,-6,-26
4,7,-6,-26
4,8,-6,-26
4,9,-6,-26
4,10,-6,-26
4,11,-6,-26
4,12,-6,-26
4,13,-6,-26
4,14,-6,-26
4,15,-6,-26
4,16,-6,-26
4,17,-5,-26
4,18,-5,-26
4,19,-5,-26
4,20,-5,-26
4,21,-5,-26
4,22,-5,-26
4,23,-5,-25
4,24,-5,-25
4,25,-5,-25
4,26,-5,-25
4,27,-5,-25
4,28,-4,-25
4,29,-4,-25
4,30,-4,-24
5,1,-4,-24
5,2,-4,-24
5,3,-4,-24
5,4,-4,-24
5,5,-4,-24
5,6,-4,-23
5,7,-4,-23
5,8,-3,-22
5,9,-3,-22
5,10,-3,-22
5,11,-3,-22
5,12,-3,-22
5,13,-3,-22
5,14,-3,-21
5,15,-3,-21
5,16,-3,-21
5,17,-2,-21
5,18,-2,-20
5,19,-2,-20
5,20,-2,-20
5,21,-2,-19
5,22,-2,-19
5,23,-2,-19
5,24,-2,-18
5,25,-1,-18
5,26,-1,-18
5,27,-1,-17
5,28,-1,-17
5,29,-1,-17
5,30,-1,-16
5,31,-1,-16
6,1,-1,-16
6,2,-1,-15
6,3,0,-15
6,4,0,-15
6,5,0,-14
6,6,0,-14
6,7,0,-13
6,8,0,-13
6,9,0,-13
6,10,0,-12
6,11,1,-12
6,12,1,-11
6,13,1,-11
6,14,1,-10
6,15,1,-10
6,16,1,-10
6,17,1,-9
6,18,1,-9
6,19,2,-8
6,20,2,-8
6,21,2,-7
6,22,2,-7
6,23,2,-7
6,24,2,-6
6,25,2,-6
6,26,2,-5
6,27,2,-5
6,28,3,-4
6,29,3,-4
6,30,3,-3
7,1,3,-3
7,2,3,-2
7,3,3,-2
7,4,3,-2
7,5,3,1
7,6,3,1
7,7,4,0
7,8,4,0
7,9,4,1
7,10,4,1
7,11,4,2
7,12,4,2
7,13,4,3
7,14,4,3
7,15,4,3
7,16,4,4
7,17,5,4
7,18,5,5
7,19,5,5
7,20,5,6
7,21,5,6
7,22,5,6
7,23,5,7
7,24,5,7
7,25,5,8
7,26,5,8
7,27,5,9
7,28,5,9
7,29,6,9
7,30,6,10
7,31,6,10
8,1,6,11
8,2,6,11
8,3,6,11
8,4,6,12
8,5,6,12
8,6,6,13
8,7,6,13
8,8,6,13
8,9,6,14
8,10,6,14
8,11,6,15
8,12,6,15
8,13,7,15
8,14,7,16
8,15,7,16
8,16,7,16
8,17,7,17
8,18,7,17
8,19,7,17
8,20,7,18
8,21,7,18
8,22,7,18
8,23,7,18
8,24,7,19
8,25,7,19
8,26,7,19
8,27,7,20
8,28,7,20
8,29,7,20
8,30,7,20
8,31,7,21
9,1,7,21
9,2,7,21
9,3,7,22
9,4,7,22
9,5,7,22
9,6,7,22
9,7,7,22
9,8,7,23
9,9,7,23
9,10,7,23
9,11,7,23
9,12,7,24
9,13,7,24
9,14,7,24
9,15,7,24
9,16,7,24
9,17,7,24
9,18,7,25
9,19,7,25
9,20,7,25
9,21,7,25
9,22,7,25
9,23,7,25
9,24,7,25
9,25,7,26
9,26,7,26
9,27,7,26
9,28,7,26
9,29,7,26
9,30,7,26
10,1,7,26
10,2,7,26
10,3,7,26
10,4,7,26
10,5,7,26
10,6,6,26
10,7,6,26
10,8,6,26
10,9,6,26
10,10,6,26
10,11,6,26
10,12,6,26
10,13,6,26
10,14,6,26
10,15,6,26
10,16,6,26
10,17,6,26
10,18,6,26
10,19,6,26
10,20,5,26
10,21,5,26
10,22,5,26
10,23,5,26
10,24,5,26
10,25,5,26
10,26,5,26
10,27,5,25
10,28,5,25
10,29,5,25
10,30,5,25
10,31,4,25
11,1,4,25
11,2,4,25
11,3,4,24
11,4,4,24
11,5,4,24
11,6,4,24
11,7,4,24
11,8,4,23
11,9,4,23
11,10,3,23
11,11,3,23
11,12,3,22
11,13,3,22
11,14,3,22
11,15,3,22
11,16,3,21
11,17,3,21
11,18,2,20
11,19,2,20
11,20,2,20
11,21,2,20
11,22,2,20
11,23,2,19
11,24,2,19
11,25,2,19
11,26,1,18
11,27,1,18
11,28,1,17
11,29,1,17
11,30,1,17
12,1,1,16
12,2,1,16
12,3,1,16
12,4,0,15
12,5,0,15
12,6,0,14
12,7,0,14
12,8,0,14
12,9,0,13
12,10,0,13
12,11,0,12
12,12,-1,12
12,13,-1,11
12,14,-1,11
12,15,-1,10
12,16,-1,10
12,17,-1,10
12,18,-1,9
12,19,-1,9
12,20,-2,8
12,21,-2,8
12,22,-2,7
12,23,-2,7
12,24,-2,6
12,25,-2,6
12,26,-2,5
12,27,-2,5
12,28,-3,4
12,29,-3,4
12,30,-3,3
12,31,-3,3
