no,ns,lat
208,N,20
171,S,14
209,N,8
210,N,28
211,N,20
172,S,15~18
173,S,20~27
212,N,19~24
174,S,19
213,N,14~15
214,N,26
175,S,25
176,S,20
215,N,24
216,N,30
177,S,15
178,S,23
179,S,14~19
217,N,22
218,N,22
180,S,21
,N,12
182,S,30
183,S,14~18
219,N,24
220,N,29
221,N,22~23
184,S,21
222,N,24
185,S,18
223,N,18
186,S,12
224,N,12
225,N,12
187,S,36
226,N,27
188,S,19
189,S,27~28
190,S,11
191,S,12~14
227,N,22
228,N,36
192,S,10
193,S,27
229,N,27
230,N,40~42
194,S,9
231,N,15
232,N,33
