No,lat,lon,first,last
N8024,4,222,jul.8,jul.8
N8025,11~14,78~82,jul.10,jul.22
N8026,12~15,165~172,jul.11,jul.15
N8027,11~12,155~157,jul.11,jul.11
N8028,15~17,129~134,jul.13,jul.15
N8029,4~13,338~356,jul.17,jul.28
N8030,21,24,jul.19,jul.19
N8031,14,333~334,jul.23,jul.23
N8032,8~9,257~267,jul.27,aug.4
S7945,5~8,122~131,jul.7,jul.18
S7946,7~8,171~173,jul.9,jul.11
S7947,15,76,jul.11,jul.11
S7948,7,67,jul.13,jul.17
S7949,15~17,50~53,jul.13,jul.21
S7950,4~13,36~52,jul.13,jul.24
S7951,11,59,jul.15,jul.17
S7952,14~17,57~64,jul.15,jul.17
S7953,10,55,jul.18,jul.18
S7954,10~15,341~349,jul.18,jul.28
S7955,6~10,170~185,jul.30,aug.10
