date,time,ng,nf,sg,sf,remarks
1,1:15,7,45,4,13,
2,3:27,7,44,2,8,
3,3:42,7,39,3,10,
4,0:26,8,34,4,12,
5,,,,,,M
6,,,,,,M
7,,,,,,R
8,0:01,5,42,6,30,
9,5:22,3,44,8,51,
10,,,,,,C
11,,,,,,C
12,,,,,,C
13,,,,,,R
14,,,,,,R
15,3:58,6,54,8,94,
16,,,,,,C
17,3:01,5,21,7,50,
18,,,,,,M
19,,,,,,R
20,,,,,,R
21,,,,,,R-C
22,3:01,4,30,6,61,
23,3:24,3,27,5,65,
24,,,,,,C
25,,,,,,R-C
26,2:10,3,10,5,51,
27,4:39,3,17,4,45,
28,3:59,7,46,4,32,
29,4:35,9,46,4,23,
30,1:27,11,69,4,31,
31,3:42,11,77,2,34,
