date,no,lat,lon,num
2023/5/8,1,-14~-12,22~24,3
,2,3~8,5~15,4
,3,-12~-9,-1~1,1
,4,12~16,-15~-6,6
,5,8~10,-25~-20,4
2023/5/9,1,-12~-8,9~11,2
,2,8~9,10~12,2
,3,4,0,1
,4,-9,-2,1
,5,6~10,-10~-7,11
,6,13~16,-26~-22,2
,7,8~9,-40~-36,2
2023/5/10,1,5~10,-51~-39,10
,2,-12,-27,1
,3,3~6,-29~-23,6
,4,3~4,-18,2
,5,8~10,-9~-6,4
,6,-3,51~55,2
,7,24,63,1
,8,30,70,1
2023/5/11,1,15~16,63~68,2
,2,10,57,1
,3,8~9,-17~-14,2
,4,4~7,-28~-24,6
,5,-9~-7,-42~-38,3
,6,8~9,-38~-32,6
,7,13~18,-60~-58,11
,8,15,-76,1
2023/5/12,1,15~17,-82~-63,11
,2,10,-49,1
,3,-8~-5,-53~-52,2
,4,10~11,-32~-28,2
,5,18~21,14~20,4
,6,11,37~39,1
,7,21,44~47,2
,8,5~9,45~53,4
2023/5/16,1,13~14,-14~-12,3
,2,17,-7,1
,3,9,-10~-8,2
,4,12,-5,1
,5,8~11,-4~-1,6
2023/6/29,1,14~19,-14~-3,6
2023/7/2,1,38,50,1
,2,2~4,53~58,4
,3,-8~-5,52~55,3
,4,5,29~33,2
,5,0,21,1
,6,-12,12~14,2
,7,-1~4,-38~-54,16
2023/11/17,1,S13,W61~66,2
2023/11/15,1,S8~10,W33~41,6
