date,no,lat,lon,num
2023/4/1,1,N22,W80,1
,2,S20,W50,2
,3,N13,W23,1
2023/8/23,1,S15,E82,1
,2,N7,E57,1
,3,N28,E20,1
,4,N15,W16,1
,5,N12,W34,1
2023/8/25,1,S8~11,E46~49,2
,2,N8~14,E23~28,4
,3,N29,E9,1
,4,N10,W43,1
,5,N4~6,W60~61,2
2023/8/28,1,S22,E38,1
,2,S9~13,E4~9,6
,3,N8~11,W11~15,7
,4,N31,W44,1
2023/8/29,1,S5,E67,1
,2,S18,E26,1
,3,S10,W5~8,2
,4,N9,W6~8,2
2023/9/1,1,S8~12,E25~35,6
,2,N8,E45,1
,3,S18,W17,1
,4,S6~8,W48~50,2
,5,N9~14,W65~70,5
2023/9/5,1,N14,E58~60,2
,2,N15~17,E14~20,3
,3,S18,W3,1
,4,N7~9,E2~W7,4
,5,S8,W10,1
,6,S7,W30,1
2023/9/19,1,N9,W56,1
,2,N17~19,W36~44,4
,3,N26,W18,1
,4,S18~21,W16~20,2
,5,N8~11,E43~51,3
2023/9/28,1,N12~14,W61~73,3
,2,N21,W46~49,2
,3,S7~14,W36~45,4
,4,S19~22,W18~24,3
,5,N16~17,E23~32,4
,6,N14,E44,1
,7,S19,E64~69,2
2023/9/29,1,S17~21,E50~60,7
,2,N14,E31,1
,3,N15~16,E11~20,5
,4,S22,W34,1
,5,S9~15,W44~53,3
,6,N10,W78,1
2023/10/2,1,N18,W26,1
,2,N15,W6,1
,3,N12,E8,1
,4,S16~22,E10~21,8
,5,N8~16,E41~49,6
2023/10/5,1,N21,W46,1
,2,N15~17,W31~32,3
,3,S13,W31,1
,4,S16~17,W21,2
,5,N7~14,W2~E14,14
2023/3/27,1,N13,E42,1
,2,S19,E13,1
,3,S7,W0,1
,4,S26~28,W26~28,2
,5,S20~21,W33~35,2
,6,S20,W46,1
,7,N19,W4,1
,8,N21,W7,1
,9,N24,W22,1
,10,N18,W26,1
,11,N19,W30~33,3
,12,N27,W61,1
2023/3/30,1,N30,E8~10,2
,2,N10,E33,1
,3,N7,W15,1
,4,S56,E66,1
,5,S34~35,W2~E2,3
,6,S80,W20,1
,7,S24~30,W47~70,5
2023/3/28,1,N4,E33,3
,2,S23,W1~2,1
,3,S24,W44~45,2
,4,S15~17,W50~55,6
,5,S11~14,W70~75,4
,6,N19~21,W13~17,3
,7,N23~27,W32~51,7
,8,N35,W72,1
2023/3/23,1,-24,18,1
,2,18,42,1
,3,-30~-32,38~40,2
,4,-25~-27,27~34,4
,5,-19~-21,36~45,6
,6,-23,85,1
,7,-20~-23,-65~-70,2
2023/3/15,1,S22,W75,1
,2,S24,W41,1
,3,S24~28,W29~34,2
,4,S19~21,W21~23,3
,5,S12,W19,1
,6,S15,E3,1
,7,N10,E4,1
,8,N22,W7~8,2
,9,S7~9,E36~39,2
2023/3/19,1,S13,W51,1
,2,S23~26,E54~57,3
,3,S30~32,E75~76,2
,4,S25,E76,1
2023/3/20,1,S13,W63,1
,2,N19,E67,1
,3,S25~28,E49~51,3
,4,S26,E59,1
,5,S31~32,E63~66,2
2023/3/11,1,S16,E52,1
,2,S13,E32,1
,3,S19~23,E27~30,5
,4,S24~25,E10~14,3
,5,S24,W19,1
,6,N22,W2,1
,7,N20,W14,1
,8,N41,W56,1
,9,N9,W51,1
2023/3/12,1,S15,E40,1
,2,N12,E43,1
,3,S17~21,E13~18,5
,4,S12,E19,1
,5,S23~24,E1~W1,2
,6,N23,W14,1
,7,S23,W31,1
,8,N12,W65,1
2023/3/14,1,12,17,1
,2,-15,15,1
,3,-12,-6,1
,4,-18,-9,1
,5,-20,-11,1
,6,-23,-17,1
,7,-25,-17,1
,8,-23,-19,1
,9,-23,-27,1
,10,-22,-58,1
2023/1/11,1,N16~17,W17~21,5
,2,N32~34,E55~57,2
,3,S5~7,E47~53,4
,4,S13~19,E2~14,11
,5,S27~30,W39,3
,6,S27,W45,1
,7,S20~24,W46~49,4
2023/2/28,1,N16~19,W22~32,5
,2,N7,E49,1
2023/3/5,1,S22,E59,1
,2,N11~14,E26~30,5
,3,N30,E25,1
,4,N34,E11,1
,5,N10,W7,1
,6,N20,W47,2
,7,N17~21,W52~58,3
2023/1/16,1,N21,W13,1
,2,S28,W36~41,2
,3,S17~18,W13~16,2
,4,S14,E43,1
,5,N7~9,E35~37,2
,6,N10,E30,1
,7,N14~18,E38~42,4
,8,N22,0,1
2023/3/3,1,N29,E37,1
,2,N26~27,E52~54,2
,3,N8,E59,1
,4,N5~8,E65~69,4
,5,S31,E85,1
,6,N9,E20,1
,7,S18,W13,1
,8,N33~35,E59~62,2
,9,N27~31,E62~65,3
2023/1/17,1,N22,W30,1
,2,N8,E10~11,2
,3,N14~15,E19~24,3
,4,N6~8,E18~21,2
,5,S14~19,E23~27,2
,6,S15,E31,2
2023/2/8,1,S40~43,W65~72,3
,2,N22~30,W18~23,4
,3,N15~18,E4~10,3
,4,N37,E24,1
,5,N46,E40,1
2023/3/1,1,N39,E35,1
,2,N75,E40,1
,3,S6,W52~54,2
,4,S1~3,W55,3
,5,S0~5,W55~58,4
2023/3/10,1,N11~13,W30~38,4
,2,N30,W35,1
,3,N37,W50,1
,4,N30,E12,1
,5,S26~28,W7~9,4
,6,S28~31,E17~20,3
,7,S25~28,E36~37,2
,8,S20~24,E39,1
,9,S24,E60,1
